"VendorID","passenger_count","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","total_amount","pickup_hour","speed","temp","hum","vis","fog","rain","gasprice"
NA,1,-74.0000152587891,40.7382431030273,-74.006477355957,40.7332534790039,5.3,19,9.49090909090909,10,43,16,0,0,1.297
NA,1,-73.9901504516602,40.756706237793,-73.8280868530273,40.7740211486816,40.84,14,32.6199701937407,4.4,51,16,0,0,1.284
NA,1,-73.9941101074219,40.751220703125,-74.0166091918945,40.7056694030762,20.8,21,11.3995711222302,7.2,90,12,0,0,1.167
NA,1,-73.7929611206055,40.7090377807617,-73.8536376953125,40.6755752563477,21.3,2,12.8659793814433,5,55,16,0,0,1.284
NA,2,-73.9819259643555,40.7792053222656,-73.9907913208008,40.7506256103516,13.3,22,10.1355140186916,21.1,53,14,0,0,1.155
NA,1,-73.9907836914063,40.7662353515625,-73.9811477661133,40.7793502807617,8.16,20,17.8363636363636,21.1,93,9,0,0,1.133
NA,1,-73.9651336669922,40.7593421936035,-73.9597930908203,40.8086395263672,23.16,14,11.0519750519751,8.9,83,16,0,0,1.167
NA,3,-74.006591796875,40.7513618469238,-73.9345779418945,40.7536277770996,24.8,20,13.0263157894737,21.7,51,14,0,0,1.155
NA,2,-73.9969177246094,40.7225189208984,-73.9898986816406,40.7331199645996,7.56,13,10.1052631578947,14.4,49,16,0,0,1.297
NA,2,-73.9892349243164,40.7579231262207,-73.9790115356445,40.7733612060547,7.3,7,12.7645429362881,22.8,71,14,0,0,1.155
NA,1,-73.9971466064453,40.7239227294922,-73.9803085327149,40.725471496582,11.9,17,8.44574780058651,3.3,48,16,0,0,1.284
NA,1,-73.9784698486328,40.7533302307129,-73.9611282348633,40.7606925964356,9.96,12,10.6229508196721,22.2,61,16,0,0,1.297
NA,1,-73.9582366943359,40.782600402832,-73.9298782348633,40.8603630065918,23.3,7,18.2873730043541,22.8,76,12,0,0,1.155
NA,2,-74.0114440917969,40.7157020568848,-73.9971923828125,40.7248878479004,9.3,20,10.4651162790698,21.1,93,9,0,0,1.133
NA,5,-73.9948043823242,40.7402114868164,-74.0042877197266,40.7430534362793,8.16,17,8.66440677966102,25.6,45,16,0,0,1.264
NA,2,-73.9914245605469,40.7497367858887,-73.9839935302734,40.7470932006836,7.3,10,4.10526315789474,25,36,12,0,0,1.167
NA,1,-73.9938888549805,40.7433815002441,-73.9477767944336,40.7706909179688,17.8,14,13.2175408426483,26.7,35,12,0,0,1.155
NA,1,-73.9822692871094,40.7771797180176,-73.9984130859375,40.7505111694336,11.16,12,18,8.3,27,16,0,0,1.297
